region;comuna
XV de Arica y Parinacota;Arica
XV de Arica y Parinacota;Camarones
XV de Arica y Parinacota;Putre
XV de Arica y Parinacota;General Lagosˇˇˇˇˇ
I de Tarapac†;Alto Hospicio
I de Tarapac†;Iquique
I de Tarapac†;Huara
I de Tarapac†;Cami§a
I de Tarapac†;Colchane
I de Tarapac†;Pica
I de Tarapac†;Pozo Almonte
II de Antofagasta;Tocopilla
II de Antofagasta;Mar°a Elena
II de Antofagasta;Calama
II de Antofagasta;OllagÅe
II de Antofagasta;San Pedro de Atacama
II de Antofagasta;Antofagasta
II de Antofagasta;Mejillones
II de Antofagasta;Sierra Gorda
II de Antofagasta;Taltal
III de Atacama;Cha§aral
III de Atacama;Diego de Almagro
III de Atacama;Copiap¢
III de Atacama;Caldera
III de Atacama;Tierra Amarilla
III de Atacama;Vallenar
III de Atacama;Freirina
III de Atacama;Huasco
III de Atacama;Alto del Carmen
IV de Coquimbo;La Serena
IV de Coquimbo;La Higuera
IV de Coquimbo;Coquimbo
IV de Coquimbo;Andacollo
IV de Coquimbo;Vicu§a
IV de Coquimbo;Paihuano
IV de Coquimbo;Ovalle
IV de Coquimbo;R°o Hurtado
IV de Coquimbo;Monte Patria
IV de Coquimbo;Combarbal†
IV de Coquimbo;Punitaqui
IV de Coquimbo;Illapel
IV de Coquimbo;Salamanca
IV de Coquimbo;Los Vilos
IV de Coquimbo;Canela
V de Valpara°so;La Ligua
V de Valpara°so;Petorca
V de Valpara°so;Cabildo
V de Valpara°so;Zapallar
V de Valpara°so;Papudo
V de Valpara°so;Los Andes
V de Valpara°so;San Esteban
V de Valpara°so;Calle Larga
V de Valpara°so;Rinconada
V de Valpara°so;San Felipe
V de Valpara°so;Putaendo
V de Valpara°so;Santa Mar°a
V de Valpara°so;Panquehue
V de Valpara°so;Llaillay
V de Valpara°so;Catemu
V de Valpara°so;Quillota
V de Valpara°so;La Cruz
V de Valpara°so;Calera
V de Valpara°so;Nogales
V de Valpara°so;Hijuelas
V de Valpara°so;Limache
V de Valpara°so;OlmuÇ
V de Valpara°so;Valpara°so
V de Valpara°so;Vi§a del Mar
V de Valpara°so;Quintero
V de Valpara°so;Puchuncav°
V de Valpara°so;QuilpuÇ
V de Valpara°so;Villa Alemana
V de Valpara°so;Casablanca
V de Valpara°so;Conc¢n
V de Valpara°so;Juan Fern†ndez
V de Valpara°so;San Antonio
V de Valpara°so;Cartagena
V de Valpara°so;El Tabo
V de Valpara°so;El Quisco
V de Valpara°so;Algarrobo
V de Valpara°so;Santo Domingo
V de Valpara°so;Isla de Pascua
VI del Libertador General Bernardo O'Higgins;Rancagua
VI del Libertador General Bernardo O'Higgins;Graneros
VI del Libertador General Bernardo O'Higgins;Mostazal
VI del Libertador General Bernardo O'Higgins;Codegua
VI del Libertador General Bernardo O'Higgins;Machal°
VI del Libertador General Bernardo O'Higgins;Olivar
VI del Libertador General Bernardo O'Higgins;Requinoa
VI del Libertador General Bernardo O'Higgins;Rengo
VI del Libertador General Bernardo O'Higgins;Malloa
VI del Libertador General Bernardo O'Higgins;Quinta de Tilcoco
VI del Libertador General Bernardo O'Higgins;San Vicente
VI del Libertador General Bernardo O'Higgins;Pichidegua
VI del Libertador General Bernardo O'Higgins;Peumo
VI del Libertador General Bernardo O'Higgins;Coltauco
VI del Libertador General Bernardo O'Higgins;Coinco
VI del Libertador General Bernardo O'Higgins;Do§ihue
VI del Libertador General Bernardo O'Higgins;Las Cabras
VI del Libertador General Bernardo O'Higgins;San Fernando
VI del Libertador General Bernardo O'Higgins;Chimbarongo
VI del Libertador General Bernardo O'Higgins;Placilla
VI del Libertador General Bernardo O'Higgins;Nancagua
VI del Libertador General Bernardo O'Higgins;ChÇpica
VI del Libertador General Bernardo O'Higgins;Santa Cruz
VI del Libertador General Bernardo O'Higgins;Lolol
VI del Libertador General Bernardo O'Higgins;Pumanque
VI del Libertador General Bernardo O'Higgins;Palmilla
VI del Libertador General Bernardo O'Higgins;Peralillo
VI del Libertador General Bernardo O'Higgins;Pichilemu
VI del Libertador General Bernardo O'Higgins;Navidad
VI del Libertador General Bernardo O'Higgins;Litueche
VI del Libertador General Bernardo O'Higgins;La Estrella
VI del Libertador General Bernardo O'Higgins;Marchihue
VI del Libertador General Bernardo O'Higgins;Paredones
VII del Maule;Curic¢
VII del Maule;Teno
VII del Maule;Romeral
VII del Maule;Molina
VII del Maule;Sagrada Familia
VII del Maule;Huala§Ç
VII del Maule;LicantÇn
VII del Maule;VichuquÇn
VII del Maule;Rauco
VII del Maule;Talca
VII del Maule;Pelarco
VII del Maule;R°o Claro
VII del Maule;San Clemente
VII del Maule;Maule
VII del Maule;San Rafael
VII del Maule;Empedrado
VII del Maule;Pencahue
VII del Maule;Constituci¢n
VII del Maule;Curepto
VII del Maule;Linares
VII del Maule;Yerbas Buenas
VII del Maule;Colb£n
VII del Maule;Longav°
VII del Maule;Parral
VII del Maule;Retiro
VII del Maule;Villa Alegre
VII del Maule;San Javier
VII del Maule;Cauquenes
VII del Maule;Pelluhue
VII del Maule;Chanco
VIII del Biob°o;Chill†n
VIII del Biob°o;San Carlos
VIII del Biob°o;•iquÇn
VIII del Biob°o;San Fabi†n
VIII del Biob°o;Coihueco
VIII del Biob°o;Pinto
VIII del Biob°o;San Ignacio
VIII del Biob°o;El Carmen
VIII del Biob°o;Yungay
VIII del Biob°o;Pemuco
VIII del Biob°o;Bulnes
VIII del Biob°o;Quill¢n
VIII del Biob°o;R†nquil
VIII del Biob°o;Portezuelo
VIII del Biob°o;Coelemu
